ID	Gene Symbol
merck2-AA321804_at	SPTB
merck2-AA322383_at	
merck2-AA322467_at	TAGLN3
merck2-AA330277_at	VPS13C
merck2-AA330437_at	
merck2-AA331654_at	MAT2B
merck2-AA334128_s_at	
merck2-AA337106_at	WBP5
merck2-AA339065_at	SEPW1
merck2-AA341322_at	GRSF1
merck2-AA346157_at	
merck2-AA347526_at	
merck2-AA347526_x_at	
merck2-AA347745_s_at	
merck2-AA350218_at	SLC27A4
merck2-AA350858_at	
merck2-AA353195_at	FAM105A
merck2-AA355690_at	PAICS
merck2-AA357926_at	
merck2-AA359298_x_at	RPS12
merck2-AA367306_at	AKT3
merck2-AA367715_at	ARPC2
merck2-AA372384_at	
merck2-AA372384_x_at	
merck2-AA372695_at	NSUN6
merck2-AA377654_at	
merck2-AA377654_x_at	
merck2-AA378704_x_at	THRAP3
merck2-AA379112_at	SLAMF8
merck2-AA381265_x_at	
merck2-AA382874_at	LOC286190
merck2-AA383024_s_at	
merck2-AA384366_at	CCDC125
merck2-AA386236_at	MTSS1L
merck2-AA393863_at	ECI2
merck2-AA398971_at	
merck2-AA399673_at	
merck2-AA401078_at	SDC2
merck2-AA401738_s_at	
merck2-AA402423_at	UBE2H
merck2-AA402866_a_at	CANX
merck2-AA410317_at	ITCH
merck2-AA410328_at	
merck2-AA410352_at	AMOTL1
merck2-AA411052_a_at	SNX17
merck2-AA411155_x_at	SS18
merck2-AA416547_at	PHACTR4
merck2-AA416803_at	CCNYL1
merck2-AA416803_x_at	CCNYL1
merck2-AA416879_at	
merck2-AA417995_at	SEMA3A
merck2-AA421067_at	
merck2-AA424245_at	
merck2-AA425297_at	MYO9A
merck2-AA425475_at	CYB5R2
merck2-AA425580_s_at	
merck2-AA427637_at	
merck2-AA427637_x_at	
merck2-AA427992_at	ZNF341
merck2-AA431458_at	
merck2-AA432320_at	
merck2-AA435542_s_at	
merck2-AA435601_at	LOC100506802
merck2-AA436312_at	ITGAM
merck2-AA436567_at	COX15
merck2-AA437054_at	RERG
merck2-AA437196_at	PCDHB19P
merck2-AA444386_at	SF3B1
merck2-AA446113_at	MMP11
merck2-AA446177_at	MAEL
merck2-AA446940_at	DLGAP4
merck2-AA447826_a_at	LYRM2
merck2-AA448172_at	
merck2-AA448172_s_at	
merck2-AA448638_at	
merck2-AA449146_at	
merck2-AA449146_x_at	
merck2-AA449771_a_at	THUMPD3
merck2-AA450222_at	CNOT8
merck2-AA452033_at	LOC100506518
merck2-AA452166_at	
merck2-AA452609_a_at	STAR
merck2-AA454647_x_at	
merck2-AA454855_a_at	MMP11
merck2-AA454855_at	
merck2-AA460087_at	PHC1
merck2-AA460087_x_at	
merck2-AA460367_at	
merck2-AA460707_at	
